"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Coupling Metric Rules","Design Rules","Documentation Metric Rules","Documentation Rules","Error Prone Rules","Inheritance Metric Rules","Multithreading Rules","Performance Rules","Runtime Rules","Security Rules","Size Metric Rules"
"L4215","ExclusionStrategy","com.google.gson.ExclusionStrategy","L106","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/ExclusionStrategy.java","96","1","109","2","0","0","0","0","0","0","0","0","0","0","0","2","1","6","2","0","2","1","0.955056","85","85","3","0","0.955056","85","0","0","3","3","0","4","14","0","0","0","0","2","0","2","0","2","0","0","2","0","4","14","0","0","0","0","2","0","2","0","2","0","0","2","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2704","FieldNamingStrategy","com.google.gson.FieldNamingStrategy","L106","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/FieldNamingStrategy.java","30","1","40","2","0","0","0","0","0","0","0","0","0","0","0","1","0","7","1","0","1","1","0.842105","16","16","2","0","0.842105","16","0","0","3","9","0","3","11","0","0","0","0","1","0","1","0","1","0","0","1","0","3","11","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L757","InstanceCreator<T extends Object>","com.google.gson.InstanceCreator","L106","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/InstanceCreator.java","79","1","92","2","0","0","0","0","0","0","0","0","0","0","0","1","0","22","3","0","1","1","0.957747","68","68","2","0","0.957747","68","0","0","12","12","0","3","14","0","0","0","0","1","0","1","0","1","0","0","1","0","3","14","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L3024","JsonDeserializationContext","com.google.gson.JsonDeserializationContext","L106","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonDeserializationContext.java","29","1","44","2","0","0","0","0","0","0","0","0","0","0","0","1","2","34","5","0","1","1","0.869565","20","20","2","0","0.869565","20","0","0","1","1","0","3","16","0","0","0","0","1","0","1","0","1","0","0","1","0","3","16","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2327","JsonDeserializer<T extends Object>","com.google.gson.JsonDeserializer","L106","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonDeserializer.java","73","1","91","2","0","0","0","0","0","0","0","0","0","0","0","1","3","43","1","0","1","1","0.942857","66","66","2","0","0.942857","66","0","0","32","32","0","4","19","0","0","0","0","1","0","1","0","1","0","0","1","0","4","19","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L3021","JsonSerializationContext","com.google.gson.JsonSerializationContext","L106","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonSerializationContext.java","28","1","49","2","0","0","0","0","0","0","0","0","0","0","0","2","1","38","6","0","2","1","0.851852","23","23","3","0","0.851852","23","0","0","1","1","0","4","22","0","0","0","0","2","0","2","0","2","0","0","2","0","4","22","0","0","0","0","2","0","2","0","2","0","0","2","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2324","JsonSerializer<T extends Object>","com.google.gson.JsonSerializer","L106","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/JsonSerializer.java","72","1","89","2","0","0","0","0","0","0","0","0","0","0","0","1","2","49","1","0","1","1","0.955882","65","65","2","0","0.955882","65","0","0","36","36","0","3","18","0","0","0","0","1","0","1","0","1","0","0","1","0","3","18","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L835","TypeAdapterFactory","com.google.gson.TypeAdapterFactory","L106","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/TypeAdapterFactory.java","163","1","170","2","0","0","0","0","0","0","0","0","0","0","0","1","3","40","3","0","1","1","0.979866","146","146","2","0","0.979866","146","0","0","29","30","0","3","8","0","0","0","0","1","0","1","0","1","0","0","1","0","3","8","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L1145","JsonPostDeserializer<T extends Object>","com.google.gson.interceptors.JsonPostDeserializer","L1123","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/extras/src/main/java/com/google/gson/interceptors/JsonPostDeserializer.java","27","1","33","2","0","0","0","0","0","0","0","0","0","0","0","1","0","4","1","0","1","1","0.769231","10","10","2","0","0.769231","10","0","0","2","2","0","3","7","0","0","0","0","1","0","1","0","1","0","0","1","0","3","7","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L783","ObjectConstructor<T extends Object>","com.google.gson.internal.ObjectConstructor","L1825","L103","/home/ahmed/Desktop/FIT4003/extract/src/outputs/gson/gson/gson/src/main/java/com/google/gson/internal/ObjectConstructor.java","27","1","33","2","0","0","0","0","0","0","0","0","0","0","0","1","0","24","5","0","1","1","0.785714","11","11","2","0","0.785714","11","0","0","14","14","0","3","7","0","0","0","0","1","0","1","0","1","0","0","1","0","3","7","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0"
